safe_text,label,agreement
me amp the big homie meanboy3000 meanboy mb mbs mmr stegmanlife  stegman st ,0.0,1.0
im 100 thinking of devoting my career to proving autism isnt caused by vaccines due to the idiotic posts ive seen about world autism day,1.0,1.0
whatcausesautism vaccines do not vaccinate your child,-1.0,1.0
i mean if they immunize my kid with something that wont secretly kill him years down the line then im all for it but i dont trust that,-1.0,1.0
thanks to user catch me performing at la nuit nyc 1134 1st ave show starts at 6 jennifair mmr ,0.0,1.0
user a nearly 67 year old study when mental health studies and vaccines were relatively in their infancies that has been refuted,1.0,0.6666666666666666
study of more than 95000 kids finds no link between mmr vaccine and autism ,1.0,0.6666666666666666
psa vaccinate your fucking kids,1.0,1.0
coughing extra on the shuttle and everyone thinks i have the measles  vaccinateyourkids,1.0,0.6666666666666666
aids vaccine created at oregon health amp science university may clear virus from body   ,1.0,0.6666666666666666
user  this point i have 2 text butwbon jovi cover playin  alibis hope u can come out 2 mmr bbquser will b there,0.0,1.0
my prediction vaccine exemption in arizona will end soon to much money is being lost by big pharma,0.0,0.6666666666666666
getting my vaccines  china nervous moving  with cheryl  southern nevada health district ,1.0,1.0
1mug noche user mmr mixmasterrod dcdj mmr    mad hatter ,0.0,1.0
got my influenza vaccine  purdue university student health push  user ,1.0,0.6666666666666666
sb121 enroll meningococcal diseasepupils to be immunized against at recommended age ,0.0,0.6666666666666666
increasing number of parents skip vaccinations for their childrencolumbia missourian columbia ,0.0,1.0
user thank you for standing with ca parents and their children in support of user vaccineswork,1.0,1.0
dude idc if disney land has the measles that means shorter lines for rides so im driving down there rn,0.0,1.0
"beeftalk start your calf vaccinations now  via user 
good article on herd health",1.0,1.0
i dont care what user says you should probably get your kids vaccinated,1.0,1.0
acr13 small study shows in 10 pts with lupus shingles vaccine safe needs to be confirmed with larger study ,1.0,0.6666666666666666
"cdc measles epidemic poses travel risks usatlyixdtv1
yes very true but what about the zombie epidemic closing in on us",0.0,1.0
every time i see the to vaccinate or not debate i wonder if those on one side of the argument should even have children,1.0,1.0
user cdc lied and hid data that black boys have an 340 uncreased risk of developing autism after mmr cdcwhistleblower help,-1.0,1.0
user vaccines causing autism,-1.0,1.0
user i rarely see arguments about over vaccination which is actually a big deal,0.0,0.6666666666666666
im not obsessed w ebola just following an outbreak of worlds deadliest disease that has no vaccine no cure amp up to 90 death rate,1.0,0.6666666666666666
user joshthenewt i suck at the game haha well some people say i dont but my mmr is eh,0.0,1.0
dont shake his hand pocahontas thats probably why we have measles now pocahontaslivetweet,0.0,0.6666666666666666
user yes im a part of public health just like im a part of nature i feed an abandoned baby bird i vaccinate my privileged kids,1.0,1.0
new studies show that vaccines are not associated with autism in other news the sky is blue,1.0,1.0
not to be repetitive but i could not be less shocked no increase in asd even in genetically high risk vaccinate ,1.0,1.0
glad i got vaccinated user health alert a case of meningitis has been reported at monmouth university ,1.0,1.0
you look like you got the measles,0.0,0.6666666666666666
user user other than that his defense is not against vaccines being harmful  but the american life being unhealthy,-1.0,0.3333333333333333
like hello ranked reset they probably did bad in their placements and their mmr went down not yours went up lol,0.0,1.0
amid measles outbreak vaccines for teachers arent required while much of the attention in the ongoing measles ,0.0,0.6666666666666666
user user user user user  measles threat,0.0,0.6666666666666666
improve mood energy immunity cardio health 15 kit profit user thru 1111 sandy donate ,0.0,1.0
mt user new vaccination bill would end exemptions 4personal religious   via user ,0.0,1.0
autism and immunizations should you vaccinate ,0.0,0.6666666666666666
bart riders warned about measles infection from contagious passenger oakland cbs sf  bay area rapid transit ,0.0,1.0
user us measles cases hit 15year high so far this year 118 cases of measles have been reported in the unit ,0.0,0.6666666666666666
pull up myxx nightlife stint t performing live hosted by user  supportyourown mmr ,0.0,1.0
cdc eyeing bird flu vaccine for humans though risk is low federal officials said wednesday theyre taking steps ,0.0,0.6666666666666666
involved in fight against measles and other vaccine preventable diseases tenure track opening user  joinus,1.0,0.6666666666666666
user im not vaccinating my kids lol,-1.0,1.0
alleged victim reviewing immunity paperwork so she can resume testimony wo fear of blackmail prosecution,0.0,1.0
thanksuser for being more crystal clear about the lack of evidence linking mmr to autism i noticed  measlesoutbreak autism,1.0,0.6666666666666666
user giving me dvds on how vaccinating children is bad,0.0,0.6666666666666666
hey nowuser mixmasterrod follow madhatterdc mmr   mixmasterrods upstairs lounge ,0.0,1.0
i seriously dont want to have a child until this antivaccination movement has ended its terrifying,1.0,1.0
user user user  epidemic of enterovirus mumps now measles drug resistant tb is next treason illegalimmigration,0.0,1.0
they said i wasnt gone be shit lol looked like i proved them wrong rrr mmr srt10mg we here baby  ,0.0,1.0
flu shots at school boost vaccination rates offering flu shots at elementary schools could reduce the number of ,0.0,0.6666666666666666
user 1 marin county school board sides with young leukemia patient on vaccinations  gatebreakers,0.0,0.6666666666666666
still running with the same niggas til the death of me dibiasimb user mmr manymenrecords ,0.0,1.0
user yeah ill just stick to my regular vaccines oh wait that gives me autism,-1.0,0.6666666666666666
user antivaccine people want to control people with fear and weaken herd immunityso if anyone knows about mind control its them,1.0,1.0
why its important to vaccinate vaccineswork user measles update user says working w user ,1.0,1.0
i dont think i will ever understand peoples reasons for not getting vaccinated and not vaccinating their kids what explain,1.0,0.6666666666666666
cia no more vaccination campaigns in spy ops  via user harm from protected medic status ruse will linger,-1.0,0.6666666666666666
measles outbreak prompts vaccination debate a political debate rages as the measles outbreak spreads to more than ,0.0,1.0
people need to get there children vaccinated there are very bad diseases coming back,1.0,1.0
